Regions/Towns,Regions/Towns,,Regions/Suburbs and Pcodes,Regions/Suburbs and Pcodes,Regions/Suburbs and Pcodes,,Regions/LGA,Regions/LGA,Regions/LGA,,Regions/2016 ABS Bdy,Regions/2016 ABS Bdy,Regions/2016 ABS Bdy,Regions/2016 ABS Bdy,Regions/2016 ABS Bdy,Regions/2016 ABS Bdy,Regions/2016 ABS Bdy,Regions/2016 ABS Bdy,Regions/2016 ABS Bdy,Regions/2016 ABS Bdy,,Regions/2011 ABS Bdy,Regions/2011 ABS Bdy,Regions/2011 ABS Bdy,Regions/2011 ABS Bdy,Regions/2011 ABS Bdy,Regions/2011 ABS Bdy,Regions/2011 ABS Bdy,,Regions/2006 ABS Bdy,Regions/2006 ABS Bdy,Regions/2006 ABS Bdy,Regions/2006 ABS Bdy,,Regions/2001 ABS Bdy,Regions/2001 ABS Bdy,Regions/2001 ABS Bdy,Regions/2001 ABS Bdy
SA Government Region,Town,,SA Government Region,Suburb,Postcode,,SA Government Region,Short LGA name,Full LGA name,,SA Government Region,GCC name 2016,GCC code 2016,SA4 name 2016,SA4 code 2016,SA3 name 2016,SA3 Code 2016,SA2 name 2016,SA2 code 2016,SA1 code 2016,,SA Government Region,SA4 code 2011,SA3 name 2011,SA3 Code 2011,SA2 name 2011,SA2 code 2011,SA1 code 2011,,SA Government Region,Statistical Local Area - name,Statistical Local Area - code,CD code,,SA Government Region,Statistical Local Area - name,Statistical Local Area - code,CD code
Adelaide Hills,Lobethal,,Adelaide Hills,CRAFERS WEST,5152,,Eyre and Western,Streaky Bay,The District Council of Streaky Bay,,Adelaide Hills,Greater Adelaide,4GADE,Adelaide - Central and Hills,401,Adelaide Hills,40102,Adelaide Hills,401021003,40102100321,,Adelaide Hills,401,Adelaide Hills,40102,Adelaide Hills,401021003,40102100321,,Adelaide Hills,Adelaide Hills (DC) Bal,410150128,4060204,,Adelaide Hills,Adelaide Hills (DC) Bal,410150128,4060205
Adelaide Hills,Macclesfield,,Adelaide Hills,CUDLEE CREEK,5232,,Eyre and Western,Tumby Bay,The District Council of Tumby Bay,,Adelaide Hills,Greater Adelaide,4GADE,Adelaide - Central and Hills,401,Adelaide Hills,40102,Adelaide Hills,401021003,40102100322,,Adelaide Hills,401,Adelaide Hills,40102,Adelaide Hills,401021003,40102100322,,Adelaide Hills,Adelaide Hills (DC) Bal,410150128,4060205,,Adelaide Hills,Adelaide Hills (DC) Bal,410150128,4060206
Adelaide Hills,Meadows,,Adelaide Hills,DAWESLEY,5252,,Eyre and Western,UIA Whyalla,UIA Whyalla,,Adelaide Hills,Greater Adelaide,4GADE,Adelaide - Central and Hills,401,Adelaide Hills,40102,Adelaide Hills,401021003,40102100323,,Adelaide Hills,401,Adelaide Hills,40102,Adelaide Hills,401021003,40102100323,,Adelaide Hills,Adelaide Hills (DC) Bal,410150128,4060206,,Adelaide Hills,Adelaide Hills (DC) Bal,410150128,4060207
Adelaide Hills,Mount Barker,,Adelaide Hills,DORSET VALE,5157,,Eyre and Western,Whyalla,The Corporation of the City of Whyalla,,Adelaide Hills,Greater Adelaide,4GADE,Adelaide - Central and Hills,401,Adelaide Hills,40102,Aldgate - Stirling,401021004,40102100401,,Adelaide Hills,401,Adelaide Hills,40102,Aldgate - Stirling,401021004,40102100401,,Adelaide Hills,Adelaide Hills (DC) Bal,410150128,4060207,,Adelaide Hills,Adelaide Hills (DC) Bal,410150128,4060208
Adelaide Hills,Mount Torrens,,Adelaide Hills,ECHUNGA,5153,,Eyre and Western,Wudinna,Wudinna District Council,,Adelaide Hills,Greater Adelaide,4GADE,Adelaide - Central and Hills,401,Adelaide Hills,40102,Aldgate - Stirling,401021004,40102100402,,Adelaide Hills,401,Adelaide Hills,40102,Aldgate - Stirling,401021004,40102100402,,Adelaide Hills,Adelaide Hills (DC) Bal,410150128,4060208,,Adelaide Hills,Adelaide Hills (DC) Bal,410150128,4060209
Adelaide Hills,Mylor,,Adelaide Hills,FLAXLEY,5153,,Far North,Coober Pedy,The District Council of Coober Pedy,,Adelaide Hills,Greater Adelaide,4GADE,Adelaide - Central and Hills,401,Adelaide Hills,40102,Aldgate - Stirling,401021004,40102100403,,Adelaide Hills,401,Adelaide Hills,40102,Aldgate - Stirling,401021004,40102100403,,Adelaide Hills,Adelaide Hills (DC) Bal,410150128,4060209,,Adelaide Hills,Adelaide Hills (DC) Bal,410150128,4060301
Adelaide Hills,Nairne,,Adelaide Hills,FOREST RANGE,5139,,Far North,Flinders Ranges,The Flinders Ranges Council,,Adelaide Hills,Greater Adelaide,4GADE,Adelaide - Central and Hills,401,Adelaide Hills,40102,Aldgate - Stirling,401021004,40102100404,,Adelaide Hills,401,Adelaide Hills,40102,Aldgate - Stirling,401021004,40102100404,,Adelaide Hills,Adelaide Hills (DC) Bal,410150128,4060301,,Adelaide Hills,Adelaide Hills (DC) Bal,410150128,4060302
Adelaide Hills,Norton Summit,,Adelaide Hills,FORRESTON,5233,,Far North,Port Augusta,Port Augusta City Council,,Adelaide Hills,Greater Adelaide,4GADE,Adelaide - Central and Hills,401,Adelaide Hills,40102,Aldgate - Stirling,401021004,40102100405,,Adelaide Hills,401,Adelaide Hills,40102,Aldgate - Stirling,401021004,40102100405,,Adelaide Hills,Adelaide Hills (DC) Bal,410150128,4060302,,Adelaide Hills,Adelaide Hills (DC) Bal,410150128,4060303
Adelaide Hills,Oakbank,,Adelaide Hills,GREEN HILLS RANGE,5153,,Far North,Roxby Downs,Municipal Council of Roxby Downs,,Adelaide Hills,Greater Adelaide,4GADE,Adelaide - Central and Hills,401,Adelaide Hills,40102,Aldgate - Stirling,401021004,40102100406,,Adelaide Hills,401,Adelaide Hills,40102,Aldgate - Stirling,401021004,40102100406,,Adelaide Hills,Adelaide Hills (DC) Bal,410150128,4060303,,Adelaide Hills,Adelaide Hills (DC) Bal,410150128,4060304
Adelaide Hills,Piccadilly,,Adelaide Hills,GREENHILL,5140,,Fleurieu and Kangaroo Island,Alexandrina,Alexandrina Council,,Adelaide Hills,Greater Adelaide,4GADE,Adelaide - Central and Hills,401,Adelaide Hills,40102,Aldgate - Stirling,401021004,40102100407,,Adelaide Hills,401,Adelaide Hills,40102,Aldgate - Stirling,401021004,40102100407,,Adelaide Hills,Adelaide Hills (DC) Bal,410150128,4060304,,Adelaide Hills,Adelaide Hills (DC) Bal,410150128,4060305
Adelaide Hills,Stirling,,Adelaide Hills,GUMERACHA,5233,,Fleurieu and Kangaroo Island,Kangaroo Island,Kangaroo Island Council,,Adelaide Hills,Greater Adelaide,4GADE,Adelaide - Central and Hills,401,Adelaide Hills,40102,Aldgate - Stirling,401021004,40102100408,,Adelaide Hills,401,Adelaide Hills,40102,Aldgate - Stirling,401021004,40102100408,,Adelaide Hills,Adelaide Hills (DC) Bal,410150128,4060305,,Adelaide Hills,Adelaide Hills (DC) Bal,410150128,4060306
Adelaide Hills,Summertown,,Adelaide Hills,HAHNDORF,5245,,Fleurieu and Kangaroo Island,Victor Harbor,City of Victor Harbor,,Adelaide Hills,Greater Adelaide,4GADE,Adelaide - Central and Hills,401,Adelaide Hills,40102,Aldgate - Stirling,401021004,40102100409,,Adelaide Hills,401,Adelaide Hills,40102,Aldgate - Stirling,401021004,40102100409,,Adelaide Hills,Adelaide Hills (DC) Bal,410150128,4060306,,Adelaide Hills,Adelaide Hills (DC) Bal,410150128,4060307
